WC_Correct_Correct,WC_Correct_Extra,WC_Correct_Lure,WC_Extra_Correct,WC_Extra_Extra,WC_Extra_Lure,WC_Lure_Correct,WC_Lure_d_Lure_d,WC_Lure_Extra,WC_Lure_s_Lure_s,LC_Correct_Correct,LC_Correct_Extra,LC_Correct_Lure,LC_Extra_Correct,LC_Extra_Extra,LC_Extra_Lure,LC_Lure_Correct,LC_Lure_d_Lure_d,LC_Lure_Extra,LC_Lure_s_Lure_s,CC_Correct_Correct,CC_Correct_Extra,CC_Correct_Lure,CC_Extra_Correct,CC_Extra_Extra,CC_Extra_Lure,CC_Lure_Correct,CC_Lure_d_Lure_d,CC_Lure_Extra,CC_Lure_s_Lure_s
22,1,2,4,0,0,15,1,3,2,23,4,12,0,0,2,2,3,3,1,25,2,1,0,0,0,6,0,0,16
13,1,2,4,1,4,5,7,7,6,11,2,6,1,0,4,5,10,6,5,14,2,1,1,3,2,10,7,1,9
8,1,0,5,2,4,18,6,3,3,7,7,18,1,1,3,3,8,2,0,16,1,2,2,1,4,6,5,1,12
14,0,5,2,0,7,10,6,0,6,13,6,20,1,0,1,3,0,3,3,16,0,2,2,0,1,11,7,0,11
17,1,1,10,0,2,15,2,0,2,18,3,15,2,3,5,1,1,1,1,23,1,1,5,0,2,2,3,2,11
10,2,3,5,1,3,16,5,2,3,9,11,13,1,4,2,4,2,4,0,9,1,3,3,3,2,3,6,5,15
12,0,1,6,0,2,23,4,0,2,10,12,17,0,1,0,0,6,2,2,15,1,5,0,0,4,5,5,4,11
14,0,2,9,0,0,22,3,0,0,21,8,13,2,1,0,2,3,0,0,18,1,2,1,0,1,6,2,2,17
27,1,1,8,1,1,11,0,0,0,25,5,18,0,0,0,2,0,0,0,38,0,0,0,0,0,2,1,0,9
23,0,0,6,1,2,9,5,0,4,25,2,8,0,0,2,5,3,3,2,28,1,0,3,0,0,7,3,2,6
18,0,1,4,0,3,15,6,0,3,9,5,17,0,1,2,3,7,2,4,11,1,2,2,1,1,8,8,3,13
26,2,0,4,0,0,16,0,0,2,21,6,18,0,0,0,2,1,2,0,29,2,2,0,0,0,1,2,1,13
8,1,5,3,3,6,7,8,6,3,6,6,8,2,2,7,2,7,7,3,11,2,3,2,4,7,3,5,5,8
10,0,2,8,1,8,12,5,1,3,9,4,9,3,3,4,2,6,6,4,11,0,4,6,0,10,4,8,2,5
16,0,3,7,1,3,16,1,1,2,14,11,16,1,0,0,1,4,2,1,21,0,1,1,1,4,3,5,0,14
12,0,0,12,0,4,21,1,0,0,9,8,30,1,2,0,0,0,0,0,14,0,1,2,0,3,1,1,0,28
14,0,3,9,0,2,15,5,0,2,23,4,11,4,0,1,2,0,4,1,23,1,0,1,0,1,5,1,0,18
19,0,5,3,0,1,12,5,0,5,14,4,16,0,0,4,2,7,1,2,25,1,1,0,0,2,5,2,0,14
8,1,2,4,0,3,16,6,5,5,8,5,16,0,4,2,4,5,5,1,13,0,2,3,2,5,5,5,2,13
15,0,1,2,0,8,12,6,2,4,17,6,12,0,3,0,2,3,6,1,26,0,1,1,0,2,6,3,2,9
16,0,3,0,0,1,5,6,0,19,18,0,5,2,0,3,14,4,3,1,14,0,2,4,0,5,17,3,1,4
17,1,5,2,1,3,12,5,1,3,16,5,11,2,3,4,2,3,4,0,16,2,2,2,1,6,12,4,1,4
20,0,2,3,0,1,11,6,0,7,15,3,15,0,1,2,7,3,3,1,21,0,3,0,0,0,8,5,0,13
24,0,1,8,0,3,11,2,0,1,16,3,9,2,3,5,3,5,3,1,20,0,3,6,0,2,4,1,0,14
7,0,1,4,6,4,8,9,6,5,5,13,11,1,6,2,2,4,5,1,4,1,2,3,4,11,5,6,4,10
23,0,1,4,0,5,11,2,1,3,17,4,12,0,1,2,6,2,5,1,11,0,2,4,0,3,10,7,1,12
21,1,0,8,1,3,10,4,0,2,14,8,23,0,0,1,1,2,1,0,21,0,0,1,1,1,2,3,1,20
16,0,0,8,0,3,17,1,0,5,18,6,10,3,2,3,2,3,0,3,18,0,1,7,0,3,5,6,0,10
13,1,2,3,0,1,19,7,0,4,12,5,21,1,3,3,0,4,0,1,20,0,3,5,1,4,4,2,1,10
21,0,0,8,0,2,11,4,2,2,8,7,22,0,1,0,1,6,0,5,29,0,0,2,0,0,5,1,0,13
21,0,1,4,0,2,16,3,0,3,15,6,21,2,0,1,3,0,1,1,23,0,2,0,0,2,9,2,1,11
21,0,1,0,0,1,4,4,1,18,11,2,6,1,0,2,12,8,6,2,22,0,2,4,0,0,15,3,0,4
