id,setsize,rsizeList,rsizeNPL,fcorrect,fother,fnpl,n
1,2,2,2,23,0,0,23
1,4,2,2,23,0,0,23
1,4,4,4,23,0,0,23
1,6,2,2,22,1,0,23
1,6,4,4,17,6,0,23
1,6,6,4,20,3,0,23
1,8,2,2,17,3,3,23
1,8,4,4,16,6,1,23
1,8,6,4,17,6,0,23
1,8,8,4,13,10,0,23
10,2,2,2,23,0,0,23
10,4,2,2,22,1,0,23
10,4,4,4,22,1,0,23
10,6,2,2,20,3,0,23
10,6,4,4,21,2,0,23
10,6,6,4,23,0,0,23
10,8,2,2,21,2,0,23
10,8,4,4,18,5,0,23
10,8,6,4,17,6,0,23
10,8,8,4,18,5,0,23
11,2,2,2,23,0,0,23
11,4,2,2,23,0,0,23
11,4,4,4,22,1,0,23
11,6,2,2,22,1,0,23
11,6,4,4,20,1,2,23
11,6,6,4,19,4,0,23
11,8,2,2,19,1,3,23
11,8,4,4,16,6,1,23
11,8,6,4,18,4,1,23
11,8,8,4,17,5,1,23
12,2,2,2,23,0,0,23
12,4,2,2,23,0,0,23
12,4,4,4,22,1,0,23
12,6,2,2,22,1,0,23
12,6,4,4,22,1,0,23
12,6,6,4,21,2,0,23
12,8,2,2,19,4,0,23
12,8,4,4,21,2,0,23
12,8,6,4,18,5,0,23
12,8,8,4,17,5,1,23
13,2,2,2,23,0,0,23
13,4,2,2,23,0,0,23
13,4,4,4,22,1,0,23
13,6,2,2,20,2,1,23
13,6,4,4,20,3,0,23
13,6,6,4,20,3,0,23
13,8,2,2,16,7,0,23
13,8,4,4,15,7,1,23
13,8,6,4,15,8,0,23
13,8,8,4,17,6,0,23
14,2,2,2,23,0,0,23
14,4,2,2,22,1,0,23
14,4,4,4,23,0,0,23
14,6,2,2,18,5,0,23
14,6,4,4,11,12,0,23
14,6,6,4,17,6,0,23
14,8,2,2,17,6,0,23
14,8,4,4,17,6,0,23
14,8,6,4,13,10,0,23
14,8,8,4,13,10,0,23
15,2,2,2,23,0,0,23
15,4,2,2,23,0,0,23
15,4,4,4,22,1,0,23
15,6,2,2,23,0,0,23
15,6,4,4,22,1,0,23
15,6,6,4,23,0,0,23
15,8,2,2,21,2,0,23
15,8,4,4,22,1,0,23
15,8,6,4,19,3,1,23
15,8,8,4,18,5,0,23
16,2,2,2,23,0,0,23
16,4,2,2,22,1,0,23
16,4,4,4,23,0,0,23
16,6,2,2,19,3,1,23
16,6,4,4,20,3,0,23
16,6,6,4,20,3,0,23
16,8,2,2,17,4,2,23
16,8,4,4,19,4,0,23
16,8,6,4,15,7,1,23
16,8,8,4,18,5,0,23
17,2,2,2,23,0,0,23
17,4,2,2,23,0,0,23
17,4,4,4,23,0,0,23
17,6,2,2,22,1,0,23
17,6,4,4,16,7,0,23
17,6,6,4,18,5,0,23
17,8,2,2,19,3,1,23
17,8,4,4,17,6,0,23
17,8,6,4,14,9,0,23
17,8,8,4,12,11,0,23
18,2,2,2,22,1,0,23
18,4,2,2,21,2,0,23
18,4,4,4,23,0,0,23
18,6,2,2,21,1,1,23
18,6,4,4,19,4,0,23
18,6,6,4,20,3,0,23
18,8,2,2,18,3,2,23
