"","Estimate","Est.Error","Q2.5","Q97.5"
"lWCPU_Intercept",-0.5906894500325,0.0953245055359261,-0.79463667675,-0.41042927125
"lWCPUTgivenU_Intercept",1.19748944869,0.192592969733626,0.862293817,1.615187155
"lWCPrColor_Intercept",-1.933046873375,0.375053591729201,-2.8266256075,-1.37365401
"lWCPrLocation_Intercept",0.178077655659592,0.111121897890336,-0.04128783625,0.39736085525
"lWCPItemLocation_Intercept",0.525474055083125,0.285326403879892,-0.0416209026,1.1032470275
"lWCPItemColor_Intercept",-0.50588375839475,0.155864099365168,-0.84324301225,-0.23008355125
"lLCPU_Intercept",-1.151340192105,0.12478054322229,-1.4250978475,-0.93432353225
"lLCPUTgivenU_Intercept",2.14458880127,0.466688764618461,1.4052076775,3.204645455
"lLCPrWord_Intercept",0.209326723099813,0.111376372972224,-0.016719712375,0.41866812125
"lLCPrColor_Intercept",-1.2115095936375,0.193906258184572,-1.62469449,-0.89287369325
"lLCPItemColor_Intercept",-0.59386884261675,0.146154585957571,-0.9101688415,-0.34477122125
"lLCPItemWord_Intercept",-0.50887581182365,0.246162189976279,-1.05169111,-0.0864950580499999
"lCCPU_Intercept",0.126028143752553,0.0939349906699644,-0.06356740825,0.30716901025
"lCCPUTgivenU_Intercept",0.30218646469865,0.0710004349956904,0.1651259235,0.44063221475
"lCCPrWord_Intercept",-1.7012203577775,0.319941123247509,-2.497103545,-1.226299925
"lCCPrLocation_Intercept",-0.3505286702598,0.116201188126785,-0.58393850625,-0.1236196325
"lCCPItemLocation_Intercept",0.121159131328466,0.224889709666875,-0.33201736975,0.54586770475
"lCCPItemWord_Intercept",-0.559773001520677,0.286901827206225,-1.2029500525,-0.0444983287999999
