"","Estimate","Est.Error","Q2.5","Q97.5"
"lWCPU_Intercept",-0.4437061864475,0.0683553868103365,-0.57775887225,-0.31015910825
"lWCPUTgivenU_Intercept",2.4179775459,0.43149408218896,1.7181105275,3.4211231275
"lWCPItemColor_Intercept",-0.5545794077354,0.17161425750248,-0.9233326355,-0.25374632275
"lWCPItemLocation_Intercept",1.20417218145,0.199843784470902,0.843231775,1.6176009325
"lLCPU_Intercept",-0.6514755423775,0.066108732070044,-0.78466367525,-0.5230336795
"lLCPUTU_Intercept",2.943781270725,0.412666221197023,2.2784905825,3.860587465
"lLCPItemWord_Intercept",0.5150064557765,0.13339265626555,0.253720627,0.7814050325
"lLCPItemColor_Intercept",-0.61246056604,0.150426702920521,-0.94411234225,-0.34604853725
"lCCPU_Intercept",0.147418671557133,0.0979310177338339,-0.051986905,0.333094979
"lCCPUTU_Intercept",0.4442935892025,0.0805173843334884,0.290929244,0.60579210225
"lCCPItemWord_Intercept",-0.501815692177632,0.276706489469309,-1.123760365,-0.0235641634999999
"lCCPItemLocation_Intercept",0.607737331660375,0.175940848737165,0.268884451,0.95262592575
